date,flight_id,origin,destination,scheduled_minutes,departure_delay_min,arrival_delay_min,cancelled,delay_cause,passengers,load_factor,route
2026-06-01,LH1103,AMS,MUC,137,36.0,38.0,False,No delay,153,0.903,AMS-MUC
2026-06-01,LH1302,AMS,MUC,97,30.0,32.0,False,ATC,85,0.955,AMS-MUC
2026-06-01,LH1380,VIE,HAM,181,0.0,0.0,False,No delay,99,0.887,VIE-HAM
2026-06-01,LH1409,ZRH,MUC,75,35.0,40.0,False,Weather,131,0.802,ZRH-MUC
2026-06-01,LH1464,DUS,FRA,182,0.0,0.0,False,No delay,162,0.818,DUS-FRA
2026-06-01,LH1574,AMS,VIE,177,20.0,14.0,False,No delay,159,0.938,AMS-VIE
2026-06-01,LH1706,MUC,HAM,192,46.0,47.0,False,Ground handling,187,0.773,MUC-HAM
2026-06-01,LH1772,BER,VIE,153,30.0,32.0,False,No delay,149,0.802,BER-VIE
2026-06-01,LH1789,FRA,BER,148,0.0,19.0,False,No delay,114,0.843,FRA-BER
2026-06-01,LH1800,BER,ZRH,112,53.0,56.0,False,ATC,84,0.908,BER-ZRH
2026-06-01,LH1838,FRA,MUC,160,0.0,0.0,False,No delay,131,0.83,FRA-MUC
2026-06-01,LH1844,MUC,HAM,109,24.0,19.0,False,No delay,169,0.821,MUC-HAM
2026-06-01,LH1845,AMS,FRA,77,13.0,15.0,False,No delay,202,0.826,AMS-FRA
2026-06-01,LH1888,HAM,VIE,74,16.0,22.0,False,Late inbound,119,0.668,HAM-VIE
2026-06-02,LH1137,FRA,DUS,65,21.0,20.0,False,ATC,198,0.822,FRA-DUS
2026-06-02,LH1169,FRA,MUC,127,28.0,26.0,False,Ground handling,85,0.97,FRA-MUC
2026-06-02,LH1232,ZRH,FRA,132,30.0,33.0,False,Late inbound,199,0.705,ZRH-FRA
2026-06-02,LH1271,VIE,AMS,59,13.0,12.0,False,No delay,166,0.819,VIE-AMS
2026-06-02,LH1299,DUS,MUC,186,12.0,0.0,False,No delay,80,0.985,DUS-MUC
2026-06-02,LH1368,AMS,FRA,95,13.0,25.0,False,Ground handling,190,0.567,AMS-FRA
2026-06-02,LH1384,HAM,VIE,107,39.0,51.0,False,No delay,157,0.865,HAM-VIE
2026-06-02,LH1414,AMS,FRA,177,38.0,39.0,False,Late inbound,156,0.81,AMS-FRA
2026-06-02,LH1428,VIE,BER,165,,,True,Weather,126,0.867,VIE-BER
2026-06-02,LH1453,AMS,DUS,155,12.0,18.0,False,Late inbound,112,0.955,AMS-DUS
2026-06-02,LH1477,ZRH,FRA,146,35.0,21.0,False,Weather,214,0.877,ZRH-FRA
2026-06-02,LH1539,AMS,FRA,58,,,True,Weather,105,0.882,AMS-FRA
2026-06-02,LH1786,HAM,BER,148,26.0,24.0,False,Technical,85,0.843,HAM-BER
2026-06-02,LH1820,FRA,ZRH,195,15.0,10.0,False,No delay,219,0.937,FRA-ZRH
2026-06-02,LH1829,FRA,MUC,98,0.0,0.0,False,No delay,74,0.959,FRA-MUC
2026-06-03,LH1055,DUS,ZRH,120,18.0,27.0,False,Weather,205,0.712,DUS-ZRH
2026-06-03,LH1116,HAM,BER,144,12.0,3.0,False,No delay,102,0.742,HAM-BER
2026-06-03,LH1146,MUC,FRA,108,0.0,0.0,False,No delay,117,0.663,MUC-FRA
2026-06-03,LH1249,ZRH,VIE,85,40.0,20.0,False,ATC,87,0.807,ZRH-VIE
2026-06-03,LH1327,AMS,VIE,167,22.0,18.0,False,Late inbound,119,0.923,AMS-VIE
2026-06-03,LH1351,HAM,BER,135,4.0,12.0,False,No delay,199,0.887,HAM-BER
2026-06-03,LH1396,BER,ZRH,103,8.0,11.0,False,No delay,200,0.767,BER-ZRH
2026-06-03,LH1561,BER,ZRH,172,0.0,6.0,False,No delay,141,0.695,BER-ZRH
2026-06-03,LH1573,MUC,HAM,88,9.0,3.0,False,No delay,164,0.99,MUC-HAM
2026-06-03,LH1662,MUC,HAM,150,0.0,0.0,False,No delay,172,0.99,MUC-HAM
2026-06-03,LH1810,BER,AMS,91,0.0,0.0,False,No delay,172,0.773,BER-AMS
2026-06-03,LH1816,VIE,AMS,72,0.0,5.0,False,No delay,137,0.778,VIE-AMS
2026-06-03,LH1843,FRA,HAM,74,12.0,7.0,False,No delay,207,0.827,FRA-HAM
2026-06-03,LH1869,MUC,AMS,192,0.0,0.0,False,No delay,121,0.795,MUC-AMS
2026-06-04,LH1035,AMS,MUC,176,0.0,0.0,False,No delay,218,0.785,AMS-MUC
2026-06-04,LH1149,FRA,BER,84,38.0,42.0,False,Late inbound,108,0.851,FRA-BER
2026-06-04,LH1278,BER,AMS,94,19.0,35.0,False,No delay,80,0.882,BER-AMS
2026-06-04,LH1517,HAM,BER,78,0.0,0.0,False,No delay,185,0.897,HAM-BER
2026-06-04,LH1541,DUS,HAM,115,0.0,0.0,False,No delay,201,0.82,DUS-HAM
2026-06-04,LH1545,FRA,BER,105,0.0,3.0,False,No delay,162,0.75,FRA-BER
2026-06-04,LH1583,FRA,HAM,173,0.0,0.0,False,No delay,74,0.944,FRA-HAM
2026-06-04,LH1618,HAM,BER,61,,,True,Weather,102,0.873,HAM-BER
2026-06-04,LH1698,ZRH,FRA,118,0.0,0.0,False,No delay,92,0.785,ZRH-FRA
2026-06-04,LH1847,HAM,ZRH,120,0.0,8.0,False,No delay,195,0.757,HAM-ZRH
2026-06-04,LH1857,DUS,BER,204,0.0,0.0,False,No delay,104,0.985,DUS-BER
2026-06-04,LH1886,MUC,DUS,78,,,True,Weather,140,0.972,MUC-DUS
2026-06-04,LH1897,MUC,HAM,118,0.0,0.0,False,No delay,136,0.846,MUC-HAM
2026-06-05,LH1044,MUC,VIE,143,44.0,46.0,False,Weather,183,0.786,MUC-VIE
2026-06-05,LH1068,AMS,FRA,192,0.0,0.0,False,No delay,162,0.912,AMS-FRA
2026-06-05,LH1126,FRA,BER,78,30.0,24.0,False,No delay,102,0.954,FRA-BER
2026-06-05,LH1216,AMS,HAM,90,24.0,13.0,False,No delay,70,0.848,AMS-HAM
2026-06-05,LH1279,FRA,MUC,170,18.0,16.0,False,Late inbound,181,0.796,FRA-MUC
2026-06-05,LH1386,AMS,BER,152,16.0,7.0,False,No delay,93,0.854,AMS-BER
2026-06-05,LH1438,ZRH,HAM,111,26.0,33.0,False,ATC,116,0.797,ZRH-HAM
2026-06-05,LH1658,AMS,HAM,114,0.0,7.0,False,No delay,173,0.827,AMS-HAM
2026-06-05,LH1898,HAM,MUC,110,10.0,10.0,False,No delay,91,0.771,HAM-MUC
2026-06-06,LH1000,FRA,AMS,143,13.0,16.0,False,ATC,145,0.726,FRA-AMS
2026-06-06,LH1006,HAM,FRA,158,0.0,0.0,False,No delay,137,0.934,HAM-FRA
2026-06-06,LH1009,FRA,AMS,169,0.0,4.0,False,No delay,159,0.815,FRA-AMS
2026-06-06,LH1032,BER,DUS,169,31.0,28.0,False,Weather,132,0.837,BER-DUS
2026-06-06,LH1086,DUS,VIE,186,37.0,43.0,False,Ground handling,183,0.891,DUS-VIE
2026-06-06,LH1132,VIE,ZRH,155,0.0,0.0,False,No delay,145,0.908,VIE-ZRH
2026-06-06,LH1171,MUC,AMS,201,13.0,7.0,False,No delay,123,0.876,MUC-AMS
2026-06-06,LH1195,FRA,VIE,201,1.0,0.0,False,No delay,114,0.795,FRA-VIE
2026-06-06,LH1217,DUS,VIE,74,6.0,1.0,False,No delay,72,0.858,DUS-VIE
2026-06-06,LH1242,AMS,VIE,155,32.0,16.0,False,No delay,161,0.915,AMS-VIE
2026-06-06,LH1245,HAM,AMS,110,17.0,30.0,False,Late inbound,181,0.876,HAM-AMS
2026-06-06,LH1358,DUS,ZRH,159,0.0,0.0,False,No delay,85,0.83,DUS-ZRH
2026-06-06,LH1375,VIE,ZRH,63,7.0,2.0,False,No delay,122,0.801,VIE-ZRH
2026-06-06,LH1430,HAM,VIE,179,10.0,24.0,False,Ground handling,99,0.734,HAM-VIE
2026-06-06,LH1580,MUC,VIE,111,21.0,4.0,False,No delay,192,0.854,MUC-VIE
2026-06-06,LH1587,FRA,AMS,110,28.0,38.0,False,Weather,189,0.796,FRA-AMS
2026-06-06,LH1673,ZRH,MUC,165,0.0,1.0,False,No delay,145,0.971,ZRH-MUC
2026-06-06,LH1677,ZRH,MUC,109,0.0,0.0,False,No delay,183,0.748,ZRH-MUC
2026-06-06,LH1694,VIE,HAM,141,20.0,8.0,False,No delay,74,0.73,VIE-HAM
2026-06-06,LH1699,VIE,AMS,104,11.0,15.0,False,No delay,76,0.858,VIE-AMS
2026-06-06,LH1727,DUS,AMS,116,35.0,26.0,False,No delay,117,0.801,DUS-AMS
2026-06-06,LH1752,FRA,MUC,188,28.0,6.0,False,No delay,110,0.837,FRA-MUC
2026-06-06,LH1790,ZRH,FRA,89,0.0,0.0,False,No delay,78,0.908,ZRH-FRA
2026-06-06,LH1825,ZRH,DUS,126,0.0,2.0,False,No delay,129,0.839,ZRH-DUS
2026-06-06,LH1880,FRA,MUC,104,7.0,5.0,False,No delay,158,0.678,FRA-MUC
2026-06-06,LH1890,DUS,VIE,198,18.0,20.0,False,Late inbound,86,0.99,DUS-VIE
2026-06-07,LH1119,FRA,DUS,56,24.0,29.0,False,No delay,146,0.872,FRA-DUS
2026-06-07,LH1170,VIE,ZRH,74,0.0,0.0,False,No delay,79,0.99,VIE-ZRH
2026-06-07,LH1257,ZRH,VIE,109,0.0,9.0,False,No delay,182,0.713,ZRH-VIE
2026-06-07,LH1309,AMS,BER,149,22.0,17.0,False,Ground handling,134,0.818,AMS-BER
2026-06-07,LH1321,DUS,AMS,120,17.0,27.0,False,No delay,216,0.871,DUS-AMS
2026-06-07,LH1364,MUC,AMS,144,34.0,35.0,False,No delay,79,0.859,MUC-AMS
2026-06-07,LH1459,BER,AMS,77,33.0,25.0,False,Technical,195,0.921,BER-AMS
2026-06-07,LH1479,DUS,VIE,174,22.0,35.0,False,Ground handling,213,0.854,DUS-VIE
2026-06-07,LH1500,ZRH,BER,151,2.0,0.0,False,No delay,119,0.976,ZRH-BER
2026-06-07,LH1515,ZRH,FRA,121,3.0,6.0,False,No delay,107,0.844,ZRH-FRA
2026-06-07,LH1537,VIE,ZRH,185,0.0,0.0,False,No delay,110,0.887,VIE-ZRH
2026-06-07,LH1579,HAM,VIE,75,30.0,21.0,False,Weather,113,0.875,HAM-VIE
2026-06-07,LH1582,BER,AMS,64,0.0,23.0,False,Late inbound,166,0.836,BER-AMS
2026-06-07,LH1807,AMS,BER,58,0.0,0.0,False,No delay,187,0.78,AMS-BER
2026-06-07,LH1817,HAM,FRA,106,29.0,34.0,False,ATC,148,0.922,HAM-FRA
2026-06-07,LH1872,BER,ZRH,95,2.0,0.0,False,No delay,124,0.788,BER-ZRH
2026-06-08,LH1017,ZRH,BER,197,0.0,1.0,False,No delay,85,0.753,ZRH-BER
2026-06-08,LH1073,HAM,AMS,126,12.0,15.0,False,No delay,198,0.762,HAM-AMS
2026-06-08,LH1156,HAM,DUS,67,21.0,29.0,False,Weather,142,0.919,HAM-DUS
2026-06-08,LH1197,ZRH,AMS,100,0.0,0.0,False,No delay,107,0.825,ZRH-AMS
2026-06-08,LH1220,FRA,BER,109,15.0,30.0,False,No delay,149,0.785,FRA-BER
2026-06-08,LH1312,HAM,AMS,89,10.0,0.0,False,No delay,136,0.842,HAM-AMS
2026-06-08,LH1385,FRA,BER,169,2.0,9.0,False,No delay,130,0.849,FRA-BER
2026-06-08,LH1413,ZRH,FRA,139,17.0,0.0,False,No delay,207,0.815,ZRH-FRA
2026-06-08,LH1417,DUS,AMS,119,19.0,5.0,False,No delay,181,0.795,DUS-AMS
2026-06-08,LH1433,ZRH,MUC,66,27.0,47.0,False,ATC,96,0.689,ZRH-MUC
2026-06-08,LH1435,AMS,ZRH,192,13.0,6.0,False,No delay,161,0.917,AMS-ZRH
2026-06-08,LH1442,FRA,HAM,134,15.0,14.0,False,No delay,119,0.775,FRA-HAM
2026-06-08,LH1496,DUS,MUC,141,24.0,14.0,False,No delay,207,0.99,DUS-MUC
2026-06-08,LH1669,AMS,MUC,69,26.0,43.0,False,ATC,88,0.798,AMS-MUC
2026-06-08,LH1704,FRA,ZRH,113,35.0,37.0,False,Late inbound,143,0.921,FRA-ZRH
2026-06-08,LH1723,FRA,HAM,71,3.0,2.0,False,No delay,71,0.875,FRA-HAM
2026-06-08,LH1725,AMS,BER,167,38.0,32.0,False,Late inbound,191,0.735,AMS-BER
2026-06-08,LH1758,ZRH,FRA,131,0.0,1.0,False,No delay,150,0.943,ZRH-FRA
2026-06-08,LH1777,HAM,AMS,167,10.0,21.0,False,Late inbound,134,0.835,HAM-AMS
2026-06-08,LH1782,FRA,BER,167,14.0,23.0,False,No delay,172,0.744,FRA-BER
2026-06-08,LH1783,ZRH,VIE,76,5.0,3.0,False,No delay,164,0.977,ZRH-VIE
2026-06-08,LH1862,FRA,MUC,116,15.0,5.0,False,No delay,95,0.794,FRA-MUC
2026-06-08,LH1873,HAM,MUC,178,0.0,0.0,False,No delay,74,0.844,HAM-MUC
2026-06-09,LH1099,DUS,BER,65,0.0,0.0,False,No delay,131,0.82,DUS-BER
2026-06-09,LH1117,HAM,ZRH,172,10.0,4.0,False,No delay,187,0.854,HAM-ZRH
2026-06-09,LH1240,AMS,BER,137,28.0,20.0,False,Late inbound,155,0.962,AMS-BER
